T&D :- 11/02/2023 10:36:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 90 | 10652.24
T&D :- 11/02/2023 10:37:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 91 | 10644.13
T&D :- 11/02/2023 10:38:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 92 | 10648.05
T&D :- 11/02/2023 10:39:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 93 | 10664.43
T&D :- 11/02/2023 10:40:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 94 | 10663.22
T&D :- 11/02/2023 10:41:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 95 | 10671.68
T&D :- 11/02/2023 10:42:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 96 | 10663.57
T&D :- 11/02/2023 10:43:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 97 | 10658.57
T&D :- 11/02/2023 10:44:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 98 | 10646.57
T&D :- 11/02/2023 10:45:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 99 | 10668.28
T&D :- 11/02/2023 10:46:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 100 | 10660.17
T&D :- 11/02/2023 10:47:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 101 | 10655.17
T&D :- 11/02/2023 10:48:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 102 | 10663.63
T&D :- 11/02/2023 10:49:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 103 | 10655.52
T&D :- 11/02/2023 10:50:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 104 | 10659.44
T&D :- 11/02/2023 10:51:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 105 | 10675.82
T&D :- 11/02/2023 10:52:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 106 | 10674.61
T&D :- 11/02/2023 10:53:03 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 107 | 10662.61
T&D :- 11/02/2023 10:54:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 108 | 10684.31
T&D :- 11/02/2023 10:55:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 109 | 10679.31
T&D :- 11/02/2023 10:56:03 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 110 | 10687.77
T&D :- 11/02/2023 10:57:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 111 | 10679.66
T&D :- 11/02/2023 10:58:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 112 | 10683.58
T&D :- 11/02/2023 10:59:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 113 | 10678.58
T&D :- 11/02/2023 11:00:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 114 | 10687.04
T&D :- 11/02/2023 11:01:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 115 | 10682.04
T&D :- 11/02/2023 11:02:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 116 | 10670.04
T&D :- 11/02/2023 11:03:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 117 | 10640.04
T&D :- 11/02/2023 11:04:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 118 | 10576.04
T&D :- 11/02/2023 11:05:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 119 | 10689.14
T&D :- 11/02/2023 11:06:03 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 120 | 10689.49
T&D :- 11/02/2023 11:07:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 121 | 10679.49
T&D :- 11/02/2023 11:08:03 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 122 | 10655.49
T&D :- 11/02/2023 11:09:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 123 | 10647.2
T&D :- 11/02/2023 11:10:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 124 | 10694.85
T&D :- 11/02/2023 11:11:03 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 125 | 10690.66
T&D :- 11/02/2023 11:12:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 126 | 10685.66
T&D :- 11/02/2023 11:13:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 127 | 10694.12
T&D :- 11/02/2023 11:14:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 128 | 10686.02
T&D :- 11/02/2023 11:15:05 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 129 | 10689.94
T&D :- 11/02/2023 11:16:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 130 | 10684.94
T&D :- 11/02/2023 11:17:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 131 | 10672.94
T&D :- 11/02/2023 11:18:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 132 | 10694.64
T&D :- 11/02/2023 11:19:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 133 | 10686.53
T&D :- 11/02/2023 11:20:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 134 | 10681.53
T&D :- 11/02/2023 11:21:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 135 | 10669.53
T&D :- 11/02/2023 11:22:04 | EURUSD-OTC |  | LOSS | put | 30 | Counter :- 136 | 10639.53
T&D :- 11/02/2023 11:23:04 | EURUSD-OTC |  | LOSS | put | 64 | Counter :- 137 | 10576.32
T&D :- 11/02/2023 11:24:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 138 | 10688.3
T&D :- 11/02/2023 11:25:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 139 | 10687.22
T&D :- 11/02/2023 11:26:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 140 | 10714.06
T&D :- 11/02/2023 11:27:04 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 141 | 10715.88
T&D :- 11/02/2023 11:28:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 142 | 10728.83
T&D :- 11/02/2023 11:29:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 143 | 10718.83
T&D :- 11/02/2023 11:30:04 | EURUSD-OTC |  | LOSS | put | 12 | Counter :- 144 | 10694.83
T&D :- 11/02/2023 11:31:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 145 | 10686.53
T&D :- 11/02/2023 11:32:04 | EURUSD-OTC |  | LOSS | put | 5 | Counter :- 146 | 10737.3
T&D :- 11/02/2023 11:33:04 | EURUSD-OTC |  | WIN | put | 1 | Counter :- 147 | 10737.65
T&D :- 11/02/2023 11:34:03 | EURUSD-OTC |  | WIN | put | 10 | Counter :- 148 | 10724.54
T&D :- 11/02/2023 11:35:04 | EURUSD-OTC |  | WIN | put | 15 | Counter :- 149 | 10736.92
